pl_name,pl_letter,hostname,disc_year,discoverymethod,disc_instrument,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,sy_name,pl_orbtper_systemref,pl_tranmid_systemref,st_metratio,st_rotp,pl_projobliq,pl_trandep,pl_trandur,pl_rvamp,pl_rade,pl_ratror,pl_ratdor,pl_trueobliq,st_log_rhk,st_metn,pl_imppar,pl_cmasse,pl_masse,pl_bmasse,pl_bmassprov,pl_msinie,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,sy_snum,sy_pnum,sy_mnum,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,pl_angsep,cartesian_x,cartesian_y,cartesian_z,st_spectype_cleaned,pl_type,pl_esi
Kepler-450 b,b,Kepler-450,2015,Transit,Kepler CCD Array,28.454851,,0.1993,88.82,,0.02,769.0,,94.33,0.461,Kepler-450,,BJD,[M/H],,,0.14298,8.1223,,6.14,0.03459,26.383,,,,0.0243,,19.4,19.4,Mass,,6197.21,0.128,-16.41,,0.554,4.08,3.02,1.19,0.37922,1.64,1,3,0,7.8544154,4.17178,6.65493,2.16449,455.982,0.437,123.43577892670089,-96.61281352180588,428.192897031419,Unknown,Neptune-Like,0.14072143368901913
Kepler-109 c,c,Kepler-109,2014,Transit,Kepler CCD Array,21.22265,,0.1546,89.63,,0.098,859.0,,91.0,2.4,Kepler-109,BJD-TDB,BJD-TDB,[Fe/H],,,0.03599,6.4913,1.8,2.65,0.01734,25.344,,,,0.16,,8.2,8.2,Mass,1.754818861,5950.0,-0.02,,1.0,0.347,4.21,6.2,1.09,0.65,1.39,1,2,0,13.363584,-7.73709,10.896,2.07728,474.861,0.326,126.21143409636251,-189.39640781784334,416.76449456502013,Unknown,Super-Earth,0.2379803591207409
Kepler-1130 d,d,Kepler-1130,2021,Transit,Kepler CCD Array,4.27225018,,0.050655,85.95,,0.0,981.0,,218.63,4.14,Kepler-1130,,BJD,[Fe/H],,,0.00524,2.1432,,0.645,0.00678,9.5,,,,0.767,,,0.202,M-R relationship,,5450.0,0.1,7.46,,-0.26,4.56,13.8,0.94,1.2086,0.84,2,3,0,4.5870063,-4.57443,-0.339436,3.98189,249.343,0.203,45.932218413281795,-84.44943057339545,230.06620055206682,Unknown,Terrestial,0.2829077895847688
Kepler-130 b,b,Kepler-130,2014,Transit,Kepler CCD Array,8.457458,,0.079,88.36,,0.15,982.0,,221.73,5.39,Kepler-130,BJD,BJD,[M/H],,,0.00834,3.248,,1.02,0.00849,16.3,,,,0.12,,,1.04,M-R relationship,,5884.0,-0.199,21.92,,0.198,4.3,5.89,0.93,0.93792,1.13,2,3,0,31.2420788,-13.0739,-28.375,3.12921,316.663,0.249,76.4876149949791,-128.98715425455512,278.9039518520515,Unknown,Super-Earth,0.2992076994814893
Kepler-62 d,d,Kepler-62,2013,Transit,Kepler CCD Array,18.16406,,0.12,89.7,,0.0,510.0,,17.21,,Kepler-62,BJD,BJD,[Fe/H],,,0.092,2.97,,1.95,0.0278,40.4,,,,0.22,,14.0,14.0,Mass,,4925.0,-0.37,,0.4,-0.678,4.68,7.0,0.69,3.8,0.64,1,5,0,40.0529337,-25.1534,-31.1696,3.29474,300.874,0.399,48.3224037397189,-103.72526743277746,278.2645828502334,K,Super-Earth,0.33063131199748474
Qatar-7 b,b,Qatar-7,2019,Transit,FLI ProLine 4K CCD Sensor,2.032046,,0.0352,89.0,,0.0,2053.0,,2886.29,0.502,Qatar-7,,,[Fe/H],5.9,,1.227301,3.5784,239.0,19.055,0.11,4.84,,,,0.08,,597.5204,597.5204,Mass,,6387.0,0.276,-4.7,13.8,0.563,4.2,1.69,1.41,0.521,1.56,1,1,0,5.310004,-5.18865,-1.12874,1.38842,705.981,0.0499,563.4808838753376,155.65011748714375,395.8175170382265,F,Gas Giants,0.048919347433006743
TOI-700 b,b,TOI-700,2020,Transit,TESS CCD Array,9.977219,-150.0,0.0677,89.6,,0.075,417.0,,4.98,5.07,TOI-700,BJD-TDB,BJD-TDB,[Fe/H],54.0,,0.045985,2.17,,0.914,0.01993,34.3,,,,0.24,,,0.704,M-R relationship,,3459.0,-0.07,-4.4,,-1.64,4.81,1.5,0.42,7.86,0.42,1,4,0,191.6726911,-102.75,161.805,32.098,31.1265,2.17,-1.5896557943246998,0.443190049777968,-31.082721555316674,M,Terrestial,0.5283125278451681
HIP 65 A b,b,HIP 65 A,2020,Transit,TESS CCD Array,0.9809734,291.42,0.01782,77.18,2458368.833,0.0,1411.0,,661.0,0.48,HIP 65,JD,BJD-TDB,[Fe/H],13.2,,8.2,0.78576,753.7,22.754,0.287,5.289,,,,1.169,,1021.18779,1021.18779,Mass,937.59380065,4590.0,0.18,21.04,2.5,-0.678,4.61,4.1,0.78,2.898,0.72,2,1,0,215.0550558,-202.815,-71.5175,16.156,61.7856,0.288,35.58650932495469,-19.98712670736726,-46.3850782839542,K,Gas Giants,0.042747900455402776
Kepler-454 d,d,Kepler-454,2023,Radial Velocity,HARPS-N Spectrograph,4073.0,117.0,5.1,,,0.089,,,,1.71,Kepler-454,BJD-TDB,BJD-TDB,[Fe/H],,,,,28.4,13.3,,,,,,,,,734.18362,Msini,734.18362017,5687.0,0.32,-70.26,2.4,0.032,4.4,5.25,1.03,1.199,1.07,2,3,0,53.0150294,21.8509,48.3025,4.3027,230.869,22.1,54.46392358723186,-101.88568052354728,199.88367690418804,Unknown,Gas Giants,
Kepler-113 b,b,Kepler-113,2014,Transit,Kepler CCD Array,4.754,,0.051194,86.54,,0.0,775.0,,105.33,10.73,Kepler-113,BJD,BJD,[Fe/H],,,0.07487,2.5037,5.4,1.82,0.02419,14.53,,,,0.08,,11.7,11.7,Mass,7.527480001,4725.0,0.05,,0.4,-0.576,4.64,6.89,0.75,2.71,0.69,1,2,0,39.3248263,-5.91324,-38.8777,3.78279,262.351,0.195,51.070842875351126,-63.206649406497235,249.44886385751556,Unknown,Super-Earth,0.2763674450901956
