pl_name,pl_letter,hostname,disc_year,discoverymethod,disc_instrument,pl_orbper,pl_orblper,pl_orbsmax,pl_orbincl,pl_orbtper,pl_orbeccen,pl_eqt,pl_occdep,pl_insol,pl_dens,sy_name,pl_orbtper_systemref,pl_tranmid_systemref,st_metratio,st_rotp,pl_projobliq,pl_trandep,pl_trandur,pl_rvamp,pl_rade,pl_ratror,pl_ratdor,pl_trueobliq,st_log_rhk,st_metn,pl_imppar,pl_cmasse,pl_masse,pl_bmasse,pl_bmassprov,pl_msinie,st_teff,st_met,st_radv,st_vsin,st_lum,st_logg,st_age,st_mass,st_dens,st_rad,sy_snum,sy_pnum,sy_mnum,sy_pm,sy_pmra,sy_pmdec,sy_plx,sy_dist,pl_angsep,cartesian_x,cartesian_y,cartesian_z,st_spectype_cleaned,pl_type,pl_esi
Kepler-509 b,b,Kepler-509,2016,Transit,Kepler CCD Array,41.74600392,,0.2384,89.96,,0.0,584.0,,28.48,2.41,Kepler-509,JD,JD,[Fe/H],,,0.04218,4.6058,,2.49,0.01871,70.525,,,,0.0211,,,6.76,M-R relationship,,6060.0,0.01,-19.51,,0.233,4.32,4.27,1.1,0.84757,1.2,1,1,0,7.0817042,-3.68139,-6.04962,2.97963,332.443,0.717,73.82564829496886,-90.18874155817147,311.3424365533566,Unknown,Super-Earth,0.2750206443273231
Kepler-514 b,b,Kepler-514,2016,Transit,Kepler CCD Array,5.65179605,,0.0676,81.85,,0.0,1248.0,,506.41,3.9,Kepler-514,JD,JD,[Fe/H],,,0.0137,2.9289,,1.72,0.01076,14.886,,,,0.815,,,3.61,M-R relationship,,6106.0,0.36,-14.74,,0.353,4.23,2.69,1.28,0.58348,1.44,2,1,0,8.3927872,-1.52838,-8.25245,2.16754,455.336,0.148,81.47422939022175,-117.26758159434554,432.3669010785667,Unknown,Super-Earth,0.2712333813729443
Kepler-519 b,b,Kepler-519,2016,Transit,Kepler CCD Array,24.3078946,,0.1594,89.63,,0.0,532.0,,19.87,3.0,Kepler-519,JD,JD,[Fe/H],,,0.06956,2.5981,,2.1,0.0237,72.9,,,,0.0881,,,5.06,M-R relationship,,5260.0,0.01,-20.72,,-0.335,4.58,1.91,0.89,2.35108,0.8,2,1,0,25.5529043,17.318,18.7893,4.02624,246.61,0.646,90.60503878720942,-83.16178346449405,213.7553199744345,Unknown,Super-Earth,0.31318434739984646
Kepler-53 b,b,Kepler-53,2012,Transit,Kepler CCD Array,18.6489525,,0.139,89.86,,0.0,701.0,,61.0,,Kepler-53,BJD,BJD,[Fe/H],,,0.08936,4.4815,,2.89,0.02987,33.69,,,,0.76,,111.0,111.0,Mass,,5858.0,0.16,,,0.036,4.53,0.3,0.98,1.97596,0.89,1,3,0,6.7612521,1.63077,6.56164,0.704174,1366.07,0.102,362.796796524723,-538.7313483539232,1201.787944536041,Unknown,Super-Earth,0.23430242837883375
Kepler-53 d,d,Kepler-53,2014,Transit,Kepler CCD Array,9.751962,,0.091,80.97,,0.0,870.0,,144.85,2.96,Kepler-53,BJD,BJD,[Fe/H],,,0.0418,4.19,,2.12,0.01987,6.05,,,,0.81,,,5.14,M-R relationship,,6085.0,0.16,,,0.036,4.5,0.3,0.98,0.044,0.96,1,3,0,6.7612521,1.63077,6.56164,0.704174,1366.07,0.0666,362.796796524723,-538.7313483539232,1201.787944536041,Unknown,Super-Earth,0.2578325013994205
MOA-2007-BLG-192L b,b,MOA-2007-BLG-192L,2008,Microlensing,MOA CCD Array,,,0.62,,,,,,,4.19,MOA-2007-BLG-192L,,,,,,,,,1.63,,,,,,,,3.3,3.3,Mass,,,,,,,,,0.06,,,1,1,0,,,,,1000.0,0.62,31.299719447548952,-997.3982204640498,-64.93933613497576,Unknown,Super-Earth,
MOA-2008-BLG-379L b,b,MOA-2008-BLG-379L,2013,Microlensing,MOA CCD Array,,,2.7,,,,,,,3.25,MOA-2008-BLG-379L,,,,,,,,,13.0,,,,,,,,1300.0,1300.0,Mass,,,,,,,,,0.56,,,1,1,0,,,,,3300.0,0.818,-14.635187568575958,-3277.039648595504,-388.3258333125534,K,Gas Giants,
Kepler-982 b,b,Kepler-982,2016,Transit,Kepler CCD Array,15.7738221,,0.1291,89.92,,0.0,955.0,,185.2,2.74,Kepler-982,JD,JD,[Fe/H],,,0.03127,4.9443,,2.25,0.01626,24.7694,,,,0.895,,,5.69,M-R relationship,,6139.0,0.05,,,0.511,4.28,3.55,1.16,0.64822,1.29,1,1,0,4.2218301,-0.995719,4.10273,1.21915,801.479,0.161,174.0155515174015,-247.84717884352244,742.0639805369896,Unknown,Super-Earth,0.24947948428472488
Kepler-984 b,b,Kepler-984,2016,Transit,Kepler CCD Array,43.0342272,,0.2327,88.07,,0.0,484.0,,13.99,2.96,Kepler-984,JD,JD,[Fe/H],,,0.0509,6.0726,,2.12,0.02056,53.4,,,,0.2622,,,5.14,M-R relationship,,5610.0,0.04,,,-0.108,4.49,3.98,0.96,1.5554,0.93,1,1,0,14.0649959,-2.5068,-13.8398,2.1442,460.188,0.506,143.88862027353505,-127.00680267910553,418.2562998605151,Unknown,Super-Earth,0.33674306164002454
Kepler-990 b,b,Kepler-990,2016,Transit,Kepler CCD Array,9.91723428,,0.0883,87.06,,0.0,903.0,,157.41,2.27,Kepler-990,JD,JD,[Fe/H],,,0.04579,3.2597,,2.6,0.02223,14.65,,,,0.786,,,7.27,M-R relationship,,5948.0,0.01,,,-0.05,4.39,3.55,1.05,0.6042,1.08,1,2,0,19.3218188,-8.08705,-17.548,1.21805,802.163,0.11,256.883216641834,-211.5058197022615,729.8916219609724,Unknown,Super-Earth,0.23435016637820838
MOA-2010-BLG-073L b,b,MOA-2010-BLG-073L,2012,Microlensing,MOA CCD Array,,,1.21,,,,,,,10.1,MOA-2010-BLG-073L,,,,,,,,,12.4,,,,,,,,3500.0,3500.0,Mass,,,,,,,,,0.16,,,1,1,0,,,,,2800.0,0.432,111.34505460050245,-2793.6745378013143,-151.60757123780004,Unknown,Gas Giants,
MOA-2011-BLG-028L b,b,MOA-2011-BLG-028L,2016,Microlensing,MOA CCD Array,,,4.14,,,,,,,0.767,MOA-2011-BLG-028L,,,,,,,,,5.99,,,,,,,,30.0,30.0,Mass,,,,,,,,,0.75,,,1,1,0,,,,,7380.0,0.561,96.00563016866823,-7341.899040980096,-742.7660405749998,Unknown,Neptune-Like,
OGLE-2003-BLG-235L b,b,OGLE-2003-BLG-235L,2004,Microlensing,OGLE CCD Array,,,4.3,,,,,,,1.98,OGLE-2003-BLG-235L,,,,,,,,,13.2,,,,,,,,830.0,830.0,Mass,,,,,,,,,0.63,,,1,1,0,,,,,5800.0,0.741,116.81124490123646,-5772.493047296774,-551.9774922721273,K,Gas Giants,
OGLE-2006-BLG-109L c,c,OGLE-2006-BLG-109L,2008,Microlensing,OGLE CCD Array,4927.5,,4.5,64.0,,0.15,59.0,,,0.346,OGLE-2006-BLG-109L,,,,,,,,4.5,11.1,,,,,,,,86.0,86.0,Mass,,,,,,,,,0.51,,,1,2,0,,,,,1510.0,2.98,-42.32051290547617,-1499.2164368067145,-175.09725810530642,Unknown,Gas Giants,
Lupus-TR-3 b,b,Lupus-TR-3,2007,Transit,Multiple Instruments,3.91405,,0.0464,88.3,,0.0,,,,1.4,Lupus-TR-3,HJD,HJD,,,,,,,9.976,,,,,,,,257.431,257.431,Mass,,5000.0,,,,-1.464,4.96,,0.87,11.19938,0.82,1,1,0,17.3832896,-14.2199,-9.99866,1.37032,773.409,0.06,-343.8422643572987,-622.0144710810345,-305.0114363239949,Unknown,Gas Giants,
MOA-2011-BLG-262L b,b,MOA-2011-BLG-262L,2014,Microlensing,MOA CCD Array,,,0.95,,,,,,,1.18,MOA-2011-BLG-262L,,,,,,,,,4.29,,,,,,,,17.0,17.0,Mass,,,,,,,,,0.11,,,1,1,0,,,,,7200.0,0.132,10.511468369818605,-7133.27416972084,-977.9003674332884,Unknown,Neptune-Like,
MOA-2009-BLG-319L b,b,MOA-2009-BLG-319L,2010,Microlensing,MOA CCD Array,,,2.03,,,,,,,0.413,MOA-2009-BLG-319L,,,,,,,,,9.64,,,,,,,,67.3,67.3,Mass,,,,,,,,,0.52,,,1,1,0,,,,,7050.0,0.288,191.28236954245142,-7035.064901345958,-416.8607548719557,Unknown,Gas Giants,
MOA-bin-29 b,b,MOA-bin-29,2019,Microlensing,MOA CCD Array,,,0.48,,,,,,,0.372,MOA-bin-29,,,,,,,,,14.1,,,,,,,,190.0,190.0,Mass,,,,,,,,,0.03,,,1,1,0,,,,,7120.0,0.0674,-67.33446880518034,-7076.702665557481,-781.1180785274202,Unknown,Gas Giants,
Kepler-950 b,b,Kepler-950,2016,Transit,Kepler CCD Array,98.7180406,,0.3982,89.68,,0.0,360.0,,3.97,0.452,Kepler-950,JD,JD,[Fe/H],,,0.732,6.4184,,8.98,0.08054,120.1,,,,0.588,,,59.6,M-R relationship,,5857.0,0.02,,,0.355,4.44,3.8,1.02,3.3628,1.02,1,1,0,6.6603552,-2.57722,-6.14152,0.432279,2161.6,0.184,501.95300692793137,-855.4610324286203,1920.6103615341053,Unknown,Neptune-Like,0.29414331358339674
OGLE-2005-BLG-169L b,b,OGLE-2005-BLG-169L,2006,Microlensing,OGLE CCD Array,,,3.5,,,,,,,1.37,OGLE-2005-BLG-169L,,,,,,,,,3.84,,,,,,,,14.1,14.1,Mass,,,,,,,,,0.69,,,1,1,0,,,,,4100.0,0.854,93.61582213703994,-4065.6865656604764,-520.9883181545723,K,Super-Earth,
OGLE-2012-BLG-0406L b,b,OGLE-2012-BLG-0406L,2013,Microlensing,OGLE CCD Array,,,3.45,,,,,,,2.07,OGLE-2012-BLG-0406L,,,,,,,,,13.2,,,,,,,,868.0,868.0,Mass,,,,,,,,,0.44,,,1,1,0,,,,,4970.0,0.694,-125.15628372702317,-4930.938612457278,-609.1636108809605,Unknown,Gas Giants,
OGLE-2012-BLG-0950L b,b,OGLE-2012-BLG-0950L,2016,Microlensing,OGLE CCD Array,,,2.6,,,,,,,0.681,OGLE-2012-BLG-0950L,,,,,,,,,6.56,,,,,,,,35.0,35.0,Mass,,,,,,,,,0.57,,,1,1,0,,,,,2600.0,1.0,79.55198530665797,-2583.0505026387777,-285.51984598505044,M,Neptune-Like,
OGLE-2016-BLG-0263L b,b,OGLE-2016-BLG-0263L,2017,Microlensing,OGLE CCD Array,,,5.4,,,,,,,3.25,OGLE-2016-BLG-0263L,,,,,,,,,13.0,,,,,,,,1300.0,1300.0,Mass,,,,,,,,,0.13,,,1,1,0,,,,,6500.0,0.831,-10.08209726314015,-6430.603901856879,-947.2232095645962,Unknown,Gas Giants,
OGLE-2016-BLG-1190L b,b,OGLE-2016-BLG-1190L,2017,Microlensing,OGLE CCD Array,1220.0,,2.17,41.2,2456989.8,0.42,,,,12.6,OGLE-2016-BLG-1190L,HJD,HJD,,,,,,,12.3,,,,,,,,4253.0,4253.0,Mass,,,,,,,,,0.88,,,1,1,0,,,,,6770.0,0.321,-29.533118715679624,-6751.974251787107,-492.81994491178216,Unknown,Gas Giants,
Kepler-1757 b,b,Kepler-1757,2021,Transit,Kepler CCD Array,19.65640068,,0.1335,87.07,,0.0,549.0,,21.5,1.93,Kepler-1757,,BJD,[Fe/H],,,0.08432,2.57,,2.947,0.03159,17.6,,,,0.969,,,8.99,M-R relationship,,5288.0,-0.24,,,-0.369,4.61,0.7,0.83,0.31828,0.74,1,1,0,7.2655152,-7.26481,-0.101223,1.21039,807.308,0.165,256.5510792304378,-212.9429681124432,735.243526283068,Unknown,Super-Earth,0.26738326047004646
NGC 2682 YBP 401 b,b,NGC 2682 YBP 401,2016,Radial Velocity,HARPS Spectrograph,4.087,330.17,,,2455974.3,0.15,,,,0.275,NGC 2682 YBP 401,JD,JD,[M/H],,,,,49.06,14.3,,,,,,,,,146.2018,Msini,146.2018,6165.0,-0.046,33.18,,0.289,4.3,,1.14,0.83866,1.22,1,1,0,11.4538523,-11.0818,-2.89559,1.1746,830.822,,-553.1292695962222,614.3271668771098,-83.15851632090106,F,Gas Giants,
OGLE-2017-BLG-0373L b,b,OGLE-2017-BLG-0373L,2018,Microlensing,OGLE CCD Array,,,2.424,,,,,,,0.254,OGLE-2017-BLG-0373L,,,,,,,,,14.0,,,,,,,,127.0,127.0,Mass,,,,,,,,,0.25,,,1,1,0,,,,,5915.0,0.41,-58.73939554748412,-5849.523474195751,-875.6996107362286,Unknown,Gas Giants,
OGLE-2018-BLG-0677L b,b,OGLE-2018-BLG-0677L,2020,Microlensing,OGLE CCD Array,,,0.63,,,,,,,3.61,OGLE-2018-BLG-0677L,,,,,,,,,1.82,,,,,,,,3.96,3.96,Mass,,,,,,,,,0.12,,,1,1,0,,,,,7580.0,0.0831,-140.0787096856767,-7493.8221622517585,-1131.1089052947887,Unknown,Super-Earth,
Kepler-660 b,b,Kepler-660,2016,Transit,Kepler CCD Array,9.27358194,,0.0759,88.93,,0.0,649.0,,44.09,2.31,Kepler-660,JD,JD,[Fe/H],,,0.12883,3.3004,,2.57,0.03311,21.6,,,,0.387,,,7.13,M-R relationship,,4779.0,-0.07,,,-0.626,4.61,4.57,0.75,1.93557,0.71,1,1,0,20.9466841,3.08138,20.7188,1.73079,568.431,0.134,119.03972583540448,-166.09194669604412,530.4307784025642,Unknown,Super-Earth,0.25613885152278015
SWEEPS-4 b,b,SWEEPS-4,2006,Transit,ACS Camera,4.2,,0.055,,,,,,,8.87,SWEEPS-4,,,,,,0.5,,,9.079,,,,,,,,1207.7,1207.7,Mass,,,,,,,,,1.24,,1.18,1,1,0,,,,,8500.0,0.00647,-35.65868432684289,-8457.157081349913,-851.5999997681462,Unknown,Neptune-Like,
OGLE-2011-BLG-0173L b,b,OGLE-2011-BLG-0173L,2018,Microlensing,OGLE CCD Array,,,8.0,,,,,,,0.451,OGLE-2011-BLG-0173L,,,,,,,,,9.01,,,,,,,,60.0,60.0,Mass,,,,,,,,,0.41,,,1,1,0,,,,,6100.0,1.31,-64.18147517959002,-6078.303043447046,-510.012598144557,Unknown,Neptune-Like,
OGLE-2011-BLG-0251L b,b,OGLE-2011-BLG-0251L,2012,Microlensing,OGLE CCD Array,,,2.72,,,,,,,0.326,OGLE-2011-BLG-0251L,,,,,,,,,14.2,,,,,,,,170.0,170.0,Mass,,,,,,,,,0.26,,,1,1,0,,,,,2570.0,1.06,-216.86199738555922,-2555.197989592087,-169.8060896272644,M,Gas Giants,
OGLE-2018-BLG-0596L b,b,OGLE-2018-BLG-0596L,2019,Microlensing,OGLE CCD Array,,,0.97,,,,,,,1.38,OGLE-2018-BLG-0596L,,,,,,,,,3.81,,,,,,,,13.93,13.93,Mass,,,,,,,,,0.23,,,1,1,0,,,,,5650.0,0.172,-81.29537912918167,-5620.860437505173,-567.2909336675531,Unknown,Super-Earth,
Kepler-969 b,b,Kepler-969,2016,Transit,Kepler CCD Array,34.1731714,,0.2027,88.63,,0.0,465.0,,10.17,3.06,Kepler-969,JD,JD,[Fe/H],,,0.06309,4.4751,,2.07,0.02261,58.49,,,,0.711,,,4.94,M-R relationship,,5214.0,0.22,,,-0.389,4.57,1.51,0.92,3.24214,0.82,1,2,0,2.3957783,1.90249,1.45612,2.53294,390.354,0.519,82.43389308110878,-112.45136603949456,364.60333084510336,Unknown,Super-Earth,0.3693521973297189
Kepler-974 b,b,Kepler-974,2016,Transit,Kepler CCD Array,4.19449651,,0.0419,85.09,,0.0,577.0,,28.51,4.39,Kepler-974,JD,JD,[Fe/H],,,0.0745,1.8482,,1.57,0.02939,10.74,,,,0.8237,,,3.09,M-R relationship,,3687.0,0.07,,,-1.354,4.76,4.37,0.52,4.8384,0.5,1,1,0,41.1922884,0.690538,41.1865,7.41656,134.311,0.312,26.56573471513086,-56.3811993703701,118.9742275352266,Unknown,Super-Earth,0.322417257468399
OGLE-2017-BLG-0604L b,b,OGLE-2017-BLG-0604L,2020,Microlensing,OGLE CCD Array,,,4.06,,,,,,,0.307,OGLE-2017-BLG-0604L,,,,,,,,,14.2,,,,,,,,160.0,160.0,Mass,,,,,,,,,0.7,,,1,1,0,,,,,3950.0,1.03,-124.63037796906205,-3914.0376678637663,-516.9878174878611,Unknown,Gas Giants,
MOA-2011-BLG-293L b,b,MOA-2011-BLG-293L,2012,Microlensing,MOA CCD Array,3000.0,,1.1,,,,,,,3.84,MOA-2011-BLG-293L,,,,,,,,,12.9,,,,,,,,1500.0,1500.0,Mass,,,,,,,,,0.86,,,1,1,0,,,,,7720.0,0.142,-128.61934871772252,-7689.061823692203,-678.3696150142337,Unknown,Gas Giants,
HATS-32 b,b,HATS-32,2016,Transit,Apogee 4K CCD Sensor,2.8126548,,0.04024,87.1,,0.471,1437.0,,614.59,0.58,HATS-32,BJD,BJD,[Fe/H],,,1.399406,2.8536,124.0,14.0,0.1171,7.88,,,,0.4,,292.4036,292.4036,Mass,,5700.0,0.39,12.42,3.56,0.057,4.4,3.5,1.1,1.17,1.1,1,1,0,20.1688334,-1.42542,-20.1184,1.31348,745.116,0.054,673.926937458035,-260.8817084046716,-181.5518401016459,Unknown,Gas Giants,0.06602359900921928
OGLE-2017-BLG-1522L b,b,OGLE-2017-BLG-1522L,2018,Microlensing,OGLE CCD Array,,,0.59,,,,,,,0.481,OGLE-2017-BLG-1522L,,,,,,,,,14.0,,,,,,,,240.0,240.0,Mass,,,,,,,,,0.04,,,1,1,0,,,,,7490.0,0.0788,36.70324064175612,-7461.145362550674,-655.7916978850552,Unknown,Gas Giants,
NN Ser d,d,NN Ser,2010,Eclipse Timing Variations,Multiple Instruments,2883.5,-111.0,3.43,,2458106.0,0.19,,,,1.71,NN Ser,,,,,,,,,13.3,,,,,,,,731.0,731.0,Mass,,57000.0,,,,,,,0.54,,,2,2,0,66.4600479,-30.0852,-59.2606,1.91664,515.818,6.65,-264.68879334095055,-346.33873505217576,275.7853012873789,D,Gas Giants,
Kepler-783 c,c,Kepler-783,2020,Transit,Kepler CCD Array,7.05395,,0.0684,86.66,,0.0,840.0,,117.33,2.62,Kepler-783,,BJD,[M/H],,,0.05211,1.7244,,2.332,0.02097,34.22,,,,0.92,,,6.04,M-R relationship,,5411.49,-0.03,,,-0.231,4.53,9.7,0.94,1.99808,0.87,1,2,0,12.1501005,-11.6348,-3.50091,1.90887,516.09,0.133,125.34388315448139,-147.28960588710788,478.48048137136817,Unknown,Super-Earth,0.24957016137522814
Kepler-589 b,b,Kepler-589,2016,Transit,Kepler CCD Array,16.54964934,,0.1196,86.74,,0.0,656.0,,32.14,2.71,Kepler-589,JD,JD,[Fe/H],,,0.07445,4.0043,,2.27,0.02518,32.35,,,,0.0374,,,5.77,M-R relationship,,5296.0,0.01,-18.91,3.9,-0.347,4.55,4.47,0.88,2.33888,0.83,1,2,0,26.8042821,8.22082,25.5125,1.60316,612.803,0.195,76.08308956451303,-191.07205986554874,577.261074584156,Unknown,Super-Earth,0.28104921149449047
Kepler-418 c,c,Kepler-418,2021,Transit,Kepler CCD Array,12.21829987,,0.1024,88.15,,0.0,835.0,,114.59,0.915,Kepler-418,,BJD,[Fe/H],,,0.18434,2.5724,,5.221,0.04552,18.0,,,,0.885,,,23.7,M-R relationship,,5822.0,-0.06,-18.45,3.5,0.111,4.35,2.1,0.96,1.76732,1.08,1,2,0,2.6721257,-0.783072,2.55481,0.969069,1002.53,0.102,325.1851005841513,-409.23004317198206,855.4833855917559,Unknown,Neptune-Like,0.155586655736088
HATS-71 b,b,HATS-71,2020,Transit,Apogee 4K CCD Sensor,3.7955202,,0.03745,88.82,,0.0,586.8,,18.08,0.42,HATS-71,BJD,BJD,[Fe/H],41.72,,5.227899,2.0148,77.0,11.478,0.2202,16.84,,,,0.348,,117.5971,117.5971,Mass,,3405.0,0.17,,,-1.56,4.77,3.2,0.49,6.26,0.48,1,1,0,83.3831772,78.8583,-27.0947,7.10286,140.225,0.267,63.92630785604891,-32.818505865519455,-120.41355181892328,M,Gas Giants,0.13210883113835825
HD 11977 b,b,HD 11977,2005,Radial Velocity,FEROS Spectrograph,711.0,351.5,1.93,,2451420.0,0.4,,,,5.58,HD 11977,,,[Fe/H],,,,,105.0,12.7,,,,,,,,,2080.0,Msini,2080.0,4970.0,-0.21,-18.01,2.4,1.839,2.9,1.2,1.91,,10.09,1,1,0,105.5736344,75.6802,73.6091,14.6943,67.9331,28.4,22.653305313311463,-13.597502547306991,-62.58467670658588,G,Gas Giants,
Kepler-471 b,b,Kepler-471,2016,Transit,Kepler CCD Array,5.01423457,,0.0626,89.58,,0.0,1308.0,,1146.88,60.7,Kepler-471,JD,JD,[Fe/H],,,0.67886,4.61153,,14.96,0.07586,8.9577,,,,0.0124,,,37000.0,M-R relationship,,6733.0,0.07,,,0.71,4.1,1.58,1.49,0.54081,1.8,1,1,0,4.1545036,-3.56043,-2.14085,0.771755,1249.41,0.0501,440.71841159186033,-384.53443038809365,1104.0497731669764,Unknown,Gas Giants,0.061491821165331806
Wendelstein-1 b,b,Wendelstein-1,2020,Transit,Gigapixel Camera 1 (GPC1),2.663416,,0.0282,86.12,,0.012,2198.0,,113.61,0.72,Wendelstein-1,BJD-TDB,BJD-TDB,,,,3.752295,1.8429688,115.56,11.561,0.1698,,,,,,,188.15536,188.15536,Mass,,4251.0,,,,-0.938,4.55,,0.65,2.5907,0.61,1,1,0,4.5190219,4.13099,-1.83207,3.24702,305.3,0.0924,141.31913684110938,-196.793998078798,185.76628833737797,K,Gas Giants,0.08558501531951257
KOI-217 b,b,KOI-217,2010,Transit,Kepler CCD Array,3.90512,,0.0477,89.8,,0.0,1046.0,,272.03,,KOI-217,HJD,HJD,[Fe/H],,,1.756,2.85516,,12.442,0.13568,11.897015,,,,0.0053,,,,Msini,,5545.0,0.12,,,-0.169,4.53,1.7,0.95,2.08224,0.86,1,1,0,2.5768478,-2.3429,-1.07283,1.06473,914.699,0.0521,265.7789775349535,-263.2209208077219,834.7158453932749,Unknown,Gas Giants,0.0753470452375995
Kepler-1972 b,b,Kepler-1972,2014,Transit,Kepler CCD Array,7.54425,64.9,0.0763,87.62,,0.067,1084.0,,326.67,22.2,Kepler-1972,BJD,BJD,[M/H],,,0.00173,6.926,,0.802,0.00532,12.34,,,,0.51,,2.02,2.02,Mass,,5818.0,0.23,,,0.294,4.2,7.4,1.12,0.62596,1.38,1,2,0,28.796531,3.41182,-28.5937,3.45152,287.339,0.266,69.5833307752899,-118.72019112630237,252.2446772840823,Unknown,Terrestial,0.2929275117620358
OGLE-2012-BLG-0563L b,b,OGLE-2012-BLG-0563L,2015,Microlensing,OGLE CCD Array,,,0.74,,,,,,,0.262,OGLE-2012-BLG-0563L,,,,,,,,,13.6,,,,,,,,120.0,120.0,Mass,,,,,,,,,0.34,,,1,1,0,,,,,1300.0,0.569,29.935860208260525,-1296.0296788189214,-97.00987524017621,Unknown,Gas Giants,
OGLE-2013-BLG-1761L b,b,OGLE-2013-BLG-1761L,2018,Microlensing,OGLE CCD Array,,,1.8,,,,,,,2.05,OGLE-2013-BLG-1761L,,,,,,,,,13.2,,,,,,,,860.0,860.0,Mass,,,,,,,,,0.33,,,1,1,0,,,,,6900.0,0.261,-167.67469455134918,-6866.60435993586,-656.985358221138,Unknown,Gas Giants,
ROXs 42 B b,b,ROXs 42 B,2013,Imaging,Multiple Instruments,,,157.0,,,0.58,1975.0,,,8.05,ROXs 42,,,,,,,,,12.5,,,,,,,,2860.0,2860.0,Mass,,3433.0,,1.13,,-0.792,,0.003,1.0,,1.34,2,1,0,24.1096799,-6.46255,-23.2274,6.93678,143.59,1090.0,-49.324782273804104,-134.68978028179814,-6.619444182314083,M,Gas Giants,
OGLE-2016-BLG-1067L b,b,OGLE-2016-BLG-1067L,2019,Microlensing,OGLE CCD Array,,,1.7,,,,,,,0.263,OGLE-2016-BLG-1067L,,,,,,,,,14.3,,,,,,,,140.0,140.0,Mass,,,,,,,,,0.3,,,1,1,0,,,,,3730.0,0.456,185.76014225239467,-3717.98090723072,-234.54454378263148,Unknown,Gas Giants,
OGLE-2015-BLG-1771L b,b,OGLE-2015-BLG-1771L,2020,Microlensing,OGLE CCD Array,,,0.85,,,,,,,0.259,OGLE-2015-BLG-1771L,,,,,,,,,14.3,,,,,,,,138.0,138.0,Mass,,,,,,,,,0.08,,,1,1,0,,,,,7070.0,0.12,-129.77835866987743,-7037.102031752024,-668.7694463209913,Unknown,Gas Giants,
Kepler-1962 b,b,Kepler-1962,2021,Transit,Kepler CCD Array,7.99145985,,0.0783,81.62,,0.0,901.0,,155.95,5.98,Kepler-1962,,BJD,[Fe/H],,,0.0145,3.2,,1.215,0.01189,6.45,,,,0.94,,,1.95,M-R relationship,,5700.0,0.16,,,-0.122,4.43,,1.0,0.07953,1.01,1,1,0,8.5244443,0.996831,-8.46596,1.12523,866.826,0.0903,221.6505547412595,-350.34270943323094,761.261014242733,Unknown,Super-Earth,0.2985378619095075
Kepler-1963 b,b,Kepler-1963,2021,Transit,Kepler CCD Array,1.96226001,,0.0298,89.06,,0.0,1448.0,,1038.36,4.49,Kepler-1963,,BJD,[Fe/H],,,0.00683,1.45,,0.744,0.00755,10.29,,,,0.169,,,0.337,M-R relationship,,5726.0,-0.1,,,-0.259,4.42,,0.92,5.35253,0.98,1,1,0,11.8293177,-0.663417,-11.8107,2.00017,492.847,0.0605,149.85152555161278,-130.84347585682372,450.91315186470126,Unknown,Terrestial,0.2866620056239628
TOI-411 c,c,HD 22946,2022,Transit,TESS CCD Array,9.573083,10.0,0.1017,88.57,,0.16,931.0,,156.75,3.15,HD 22946,BJD-TDB,BJD-TDB,[Fe/H],,,0.037081,3.684,2.7,2.328,0.01912,19.61,,,,0.504,,9.72,9.72,Mass,,6169.0,-0.08,,,0.209,4.47,2.5,1.1,1.1,1.12,1,3,0,122.0961548,-51.6637,-110.627,15.8999,62.7792,1.62,26.55638540467819,17.606024033625264,-54.09264519882167,F,Super-Earth,0.24699407176224697
Kepler-1972 c,c,Kepler-1972,2014,Transit,Kepler CCD Array,11.3295,-10.0,0.1041,87.13,,0.043,1215.0,,515.77,18.4,Kepler-1972,BJD,BJD,[M/H],,,0.00171,5.86,,0.868,0.00575,16.19,,,,0.81,,2.11,2.11,Mass,,5818.0,0.23,,,0.294,4.2,7.4,1.12,0.62596,1.38,1,2,0,28.796531,3.41182,-28.5937,3.45152,287.339,0.362,69.5833307752899,-118.72019112630237,252.2446772840823,Unknown,Terrestial,0.2938597995944624
Kepler-412 b,b,Kepler-412,2014,Transit,Kepler CCD Array,1.7208604,125.0,0.02897,80.559,,0.0038,1850.0,0.0053,2144.31,0.52,Kepler-412,BJD,BJD,[Fe/H],,,1.05413,2.03459,142.0,15.031,0.10474,4.841,,,,0.7942,,299.07803,299.07803,Mass,,5750.0,0.27,-54.58,5.0,0.269,4.3,5.37,1.17,0.97299,1.29,1,1,0,7.217735,-1.69101,7.01685,0.891809,1086.24,0.0267,217.95800662685934,-394.039088979004,988.5063688736873,G,Gas Giants,0.060802362733012316
Kepler-15 b,b,Kepler-15,2011,Transit,Kepler CCD Array,4.942782,,0.05714,87.44,,0.06,1251.0,,430.68,0.93,Kepler-15,BJD,BJD,[Fe/H],,,1.1265,3.5,78.7,10.76,0.0996,12.8,,,,0.554,,209.76,209.76,Mass,,5515.0,0.36,-20.0,2.0,-0.087,4.46,3.7,1.02,1.47,0.99,1,1,0,12.4363405,-2.77974,-12.1217,1.32383,739.412,0.0773,213.56316997628858,-175.78324415739235,685.7267161538783,Unknown,Gas Giants,0.0836096842331231
